episode,seed,forward_progress_m,lateral_drift_m,velocity_mae_mps,duration_s,fallen,fall_time_s,survival_success,progress_success,tracking_success,direction_success,overall_success,final_z,min_progress_m,ideal_distance_m,command_vx,kind
0,1000,0.42429341073536186,0.17777759251094266,0.19595765563779785,3.84,1,3.84,0,0,1,1,0,0.2150844335513879,3.5,5.0,0.5,rails_v2
1,1001,0.6889481848554048,0.0019481872541502812,0.19701512489178963,2.104,1,2.104,0,0,1,1,0,0.3550222189128392,3.5,5.0,0.5,rails_v2
2,1002,0.7827100326077907,0.22127601915339673,0.15787208041319423,3.196,1,3.196,0,0,1,1,0,0.37864424651153394,3.5,5.0,0.5,rails_v2
3,1003,0.5258188363584309,0.0270971748969242,0.13328308912146256,2.372,1,2.372,0,0,1,1,0,0.24402458471186936,3.5,5.0,0.5,rails_v2
4,1004,0.4468961364573361,0.10902719550969694,0.16773056011550883,2.2760000000000002,1,2.2760000000000002,0,0,1,1,0,0.17502605915221794,3.5,5.0,0.5,rails_v2
5,1005,0.794955586953534,0.011914541645124732,0.1653228284536836,2.164,1,2.164,0,0,1,1,0,0.269030403155859,3.5,5.0,0.5,rails_v2
6,1006,0.7553969566068023,0.21815143624565608,0.17745906923808105,2.126,1,2.126,0,0,1,1,0,0.26778863514161605,3.5,5.0,0.5,rails_v2
7,1007,0.8274043263231272,0.08068189947576422,0.15599462611953108,2.0180000000000002,1,2.0180000000000002,0,0,1,1,0,0.2546797220371524,3.5,5.0,0.5,rails_v2
8,1008,0.8343246336062947,0.060542662293065576,0.15094663259699825,1.996,1,1.996,0,0,1,1,0,0.2569205307188668,3.5,5.0,0.5,rails_v2
9,1009,0.5565751492662979,0.27353753849216034,0.17932841701077504,2.2840000000000003,1,2.2840000000000003,0,0,1,1,0,0.21728290804442238,3.5,5.0,0.5,rails_v2
10,1010,0.7416290544362494,0.1747009451879913,0.20010054219044096,2.244,1,2.244,0,0,1,1,0,0.20144097531742358,3.5,5.0,0.5,rails_v2
11,1011,0.26278830764670935,0.503198723976947,0.23058952917931105,3.426,1,3.426,0,0,1,1,0,0.14437994576300384,3.5,5.0,0.5,rails_v2
12,1012,1.023635998383182,0.18050014755901472,0.19687714425383976,2.712,1,2.712,0,0,1,1,0,0.21887570130129527,3.5,5.0,0.5,rails_v2
